strain,type,potency,rating,review_count,reports,Anxiety ,Creative ,Depression ,Dizzy ,Dry eyes ,Dry mouth ,Euphoric ,Focused ,Happy ,Headache ,Insomnia ,Pain ,Paranoid ,Stress ,Uplifted ,ADD/ADHD ,Fatigue ,Giggly ,Muscle spasms ,Relaxed ,Energetic ,Inflammation ,Cramps ,Headaches ,Sleepy ,Tingly ,Hungry ,Anxious ,PTSD ,Lack of appetite ,Talkative ,Nausea ,Bipolar disorder ,Fibromyalgia ,Spasticity ,Migraines ,Aroused ,Eye pressure ,Multiple sclerosis ,Gastrointestinal disorder ,Alzheimer's ,PMS ,Arthritis ,Epilepsy ,Seizures ,Asthma ,Parkinson's ,Spinal cord injury ,Tourette's syndrome ,Anorexia ,Tinnitus ,Cancer ,Muscular dystrophy ,Phantom limb pain ,Hypertension ,Crohn's disease ,Glaucoma ,HIV/AIDS 
AK-020,Hybrid,Unavailable,4.0,(2),2 people reported 7 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,['50% of people report feeling creative'],,,,['50% of people report feeling dry mouth'],,,['50% of people report feeling happy'],,,,,,['50% of people report feeling uplifted'],,,,['50% of people say it helps with muscle spasms'],['50% of people report feeling relaxed'],,,,,['50% of people report feeling sleepy'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK-47,Hybrid,THC 16%,4.1,(2859),1974 people reported 14669 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['27% of people say it helps with anxiety'],['33% of people report feeling creative'],['24% of people say it helps with depression'],['9% of people report feeling dizzy'],['23% of people report feeling dry eyes'],['39% of people report feeling dry mouth'],['46% of people report feeling euphoric'],,['57% of people report feeling happy'],['5% of people report feeling headache'],['16% of people say it helps with insomnia'],['25% of people say it helps with pain'],['8% of people report feeling paranoid'],['38% of people say it helps with stress'],['45% of people report feeling uplifted'],,,,,['42% of people report feeling relaxed'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK-48,Hybrid,THC 15%,3.8,(196),135 people reported 974 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['30% of people say it helps with anxiety'],['32% of people report feeling creative'],['27% of people say it helps with depression'],['8% of people report feeling dizzy'],['17% of people report feeling dry eyes'],['33% of people report feeling dry mouth'],['47% of people report feeling euphoric'],,['59% of people report feeling happy'],['4% of people report feeling headache'],['16% of people say it helps with insomnia'],['28% of people say it helps with pain'],['10% of people report feeling paranoid'],['40% of people say it helps with stress'],['53% of people report feeling uplifted'],,,,,['45% of people report feeling relaxed'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK-49,Sativa,THC 18%,3.7,(6),4 people reported 34 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,['100% of people report feeling creative'],['25% of people say it helps with depression'],,,,,['75% of people report feeling focused'],,,,['25% of people say it helps with pain'],,,['75% of people report feeling uplifted'],,['50% of people say it helps with fatigue'],,,,['75% of people report feeling energetic'],,,['25% of people say it helps with headaches'],,,,,,,['50% of people report feeling talkative'],,['50% of people say it helps with bipolar disorder'],,,,,,,,,,,,,,,,,,,,,,,,,
AK-OG Kush,Hybrid,THC 21%,5.0,(1),1 people reported 6 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['100% of people say it helps with anxiety'],,,,,['100% of people report feeling dry mouth'],,,['100% of people report feeling happy'],,,,,['100% of people say it helps with stress'],,,,,,['100% of people report feeling relaxed'],,['100% of people say it helps with inflammation'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP13,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberdeen,Hybrid,Unavailable,4.4,(8),3 people reported 56 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,['33% of people say it helps with depression'],,['33% of people report feeling dry eyes'],['33% of people report feeling dry mouth'],,,['66% of people report feeling happy'],,,,,,['100% of people report feeling uplifted'],,['33% of people say it helps with fatigue'],['100% of people report feeling giggly'],,,,,['33% of people say it helps with cramps'],['33% of people say it helps with headaches'],['66% of people report feeling sleepy'],,,,['66% of people say it helps with ptsd'],,['66% of people report feeling talkative'],,,,,,,,,,,,,,,,,,,,,,,,,,,
Abomination,Hybrid,Unavailable,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Above and Beyond,Hybrid,Unavailable,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abracadabra,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Absinthe,Hybrid,Unavailable,3.5,(2),2 people reported 17 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['50% of people say it helps with anxiety'],,['50% of people say it helps with depression'],,,,,,['50% of people report feeling happy'],['50% of people report feeling headache'],,,,['50% of people say it helps with stress'],['50% of people report feeling uplifted'],,,['50% of people report feeling giggly'],,,,,,,,,['50% of people report feeling hungry'],['50% of people report feeling anxious'],,['50% of people say it helps with lack of appetite'],['50% of people report feeling talkative'],['50% of people say it helps with nausea'],,,,,,,,,,,,,,,,,,,,,,,,,,
Abula,Hybrid,Unavailable,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abusive OG,Indica,THC 16%,4.5,(152),103 people reported 754 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['30% of people say it helps with anxiety'],,['22% of people say it helps with depression'],['6% of people report feeling dizzy'],['13% of people report feeling dry eyes'],['26% of people report feeling dry mouth'],['41% of people report feeling euphoric'],,['41% of people report feeling happy'],['1% of people report feeling headache'],['24% of people say it helps with insomnia'],['39% of people say it helps with pain'],['1% of people report feeling paranoid'],['37% of people say it helps with stress'],['28% of people report feeling uplifted'],,,,,['75% of people report feeling relaxed'],,,,,['43% of people report feeling sleepy'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia,Unavailable,CBD 11%,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acai Berry Gelato,Sativa,THC 14%,4.5,(11),7 people reported 31 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['14% of people say it helps with anxiety'],,,,,,['57% of people report feeling euphoric'],['28% of people report feeling focused'],['71% of people report feeling happy'],,['14% of people say it helps with insomnia'],['14% of people say it helps with pain'],,,['57% of people report feeling uplifted'],,,,,['71% of people report feeling relaxed'],,,,['14% of people say it helps with headaches'],,,,,,['14% of people say it helps with lack of appetite'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acai Jelly,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acapulco Gold,Sativa,THC 19%,4.5,(648),433 people reported 3090 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['25% of people say it helps with anxiety'],['42% of people report feeling creative'],['27% of people say it helps with depression'],['4% of people report feeling dizzy'],['15% of people report feeling dry eyes'],['23% of people report feeling dry mouth'],['47% of people report feeling euphoric'],,['58% of people report feeling happy'],,,['19% of people say it helps with pain'],['5% of people report feeling paranoid'],['33% of people say it helps with stress'],['54% of people report feeling uplifted'],,['16% of people say it helps with fatigue'],,,,['39% of people report feeling energetic'],,,,,,,['4% of people report feeling anxious'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acapulco Punch,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ace High,Hybrid,Unavailable,4.3,(9),5 people reported 32 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,['20% of people say it helps with depression'],,,['20% of people report feeling dry mouth'],,,['100% of people report feeling happy'],,['20% of people say it helps with insomnia'],,,,['60% of people report feeling uplifted'],,,,,['60% of people report feeling relaxed'],,['20% of people say it helps with inflammation'],['20% of people say it helps with cramps'],['20% of people say it helps with headaches'],,,['40% of people report feeling hungry'],,,,['40% of people report feeling talkative'],,,,,,,,,,,,,,,,,,,,,,,,,,,
Ace Killer OG,Indica,Unavailable,4.9,(43),27 people reported 143 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,['18% of people say it helps with depression'],['3% of people report feeling dizzy'],,['7% of people report feeling dry mouth'],['44% of people report feeling euphoric'],,['37% of people report feeling happy'],,['22% of people say it helps with insomnia'],['22% of people say it helps with pain'],,['29% of people say it helps with stress'],['25% of people report feeling uplifted'],,,,['14% of people say it helps with muscle spasms'],['70% of people report feeling relaxed'],,,,,['48% of people report feeling sleepy'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ace of Spades,Indica,THC 16%,4.1,(331),229 people reported 1806 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['27% of people say it helps with anxiety'],,['26% of people say it helps with depression'],['6% of people report feeling dizzy'],['18% of people report feeling dry eyes'],['30% of people report feeling dry mouth'],['45% of people report feeling euphoric'],,['50% of people report feeling happy'],,['26% of people say it helps with insomnia'],['32% of people say it helps with pain'],['3% of people report feeling paranoid'],['41% of people say it helps with stress'],['34% of people report feeling uplifted'],,,,,['62% of people report feeling relaxed'],,,,,['34% of people report feeling sleepy'],,,['3% of people report feeling anxious'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aceh,Sativa,THC 20%,4.5,(42),21 people reported 204 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['28% of people say it helps with anxiety'],['76% of people report feeling creative'],['52% of people say it helps with depression'],['9% of people report feeling dizzy'],['4% of people report feeling dry eyes'],['47% of people report feeling dry mouth'],['47% of people report feeling euphoric'],['61% of people report feeling focused'],['61% of people report feeling happy'],,['28% of people say it helps with insomnia'],,,['52% of people say it helps with stress'],,,,,,['66% of people report feeling relaxed'],,,,['23% of people say it helps with headaches'],,,,['4% of people report feeling anxious'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acia,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acid,Hybrid,THC 16%,4.5,(38),23 people reported 187 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['21% of people say it helps with anxiety'],['56% of people report feeling creative'],['26% of people say it helps with depression'],['4% of people report feeling dizzy'],['26% of people report feeling dry eyes'],['26% of people report feeling dry mouth'],['65% of people report feeling euphoric'],,['60% of people report feeling happy'],['4% of people report feeling headache'],,,,['43% of people say it helps with stress'],['26% of people report feeling uplifted'],,,,,,['43% of people report feeling energetic'],,,,,,,['4% of people report feeling anxious'],['21% of people say it helps with ptsd'],,,['26% of people say it helps with nausea'],,,,,,,,,,,,,,,,,,,,,,,,,,
Acid Dough,Sativa,Unavailable,4.8,(21),18 people reported 125 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,['50% of people report feeling creative'],['22% of people say it helps with depression'],,['11% of people report feeling dry eyes'],['5% of people report feeling dry mouth'],['44% of people report feeling euphoric'],,['72% of people report feeling happy'],,,,['5% of people report feeling paranoid'],['27% of people say it helps with stress'],['72% of people report feeling uplifted'],,['22% of people say it helps with fatigue'],,,,['66% of people report feeling energetic'],,,,,,,,['16% of people say it helps with ptsd'],['11% of people say it helps with lack of appetite'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
