strain,type,potency,rating,review_count,reports,Anxiety ,Anxious ,Depression ,Dizzy ,Dry eyes ,Dry mouth ,Euphoric ,Happy ,Insomnia ,Pain ,Paranoid ,Relaxed ,Sleepy ,Stress ,Uplifted ,Hungry ,Creative ,Headache ,Energetic ,Fatigue ,PTSD ,Talkative ,Focused ,Headaches ,Lack of appetite ,Tingly ,Nausea ,Giggly ,Eye pressure ,Cramps ,Muscle spasms ,Bipolar disorder ,Inflammation ,Gastrointestinal disorder ,Migraines ,Asthma ,Aroused ,Spasticity ,ADD/ADHD ,PMS ,Arthritis ,Seizures ,Fibromyalgia ,Glaucoma ,Crohn's disease ,Cancer ,Spinal cord injury ,Hypertension ,Phantom limb pain ,Anorexia ,Epilepsy ,Tourette's syndrome ,Multiple sclerosis 
Mendo Breath,Indica,THC 19%,4.6,(422),305 people reported 2270 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['31% of people say it helps with anxiety'],['4% of people report feeling anxious'],['20% of people say it helps with depression'],['5% of people report feeling dizzy'],['9% of people report feeling dry eyes'],['23% of people report feeling dry mouth'],['43% of people report feeling euphoric'],['51% of people report feeling happy'],['23% of people say it helps with insomnia'],['32% of people say it helps with pain'],['3% of people report feeling paranoid'],['77% of people report feeling relaxed'],['47% of people report feeling sleepy'],['35% of people say it helps with stress'],['28% of people report feeling uplifted'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK-47,Hybrid,THC 16%,4.1,(2859),1974 people reported 14800 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['28% of people say it helps with anxiety'],,['24% of people say it helps with depression'],['9% of people report feeling dizzy'],['23% of people report feeling dry eyes'],['39% of people report feeling dry mouth'],['46% of people report feeling euphoric'],['57% of people report feeling happy'],['16% of people say it helps with insomnia'],['25% of people say it helps with pain'],['8% of people report feeling paranoid'],['42% of people report feeling relaxed'],,['39% of people say it helps with stress'],['45% of people report feeling uplifted'],,['34% of people report feeling creative'],['5% of people report feeling headache'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lava Cake,Hybrid,THC 19%,4.5,(83),52 people reported 111 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['11% of people say it helps with anxiety'],,['9% of people say it helps with depression'],,['3% of people report feeling dry eyes'],['1% of people report feeling dry mouth'],['21% of people report feeling euphoric'],['15% of people report feeling happy'],['7% of people say it helps with insomnia'],['9% of people say it helps with pain'],,['30% of people report feeling relaxed'],,['9% of people say it helps with stress'],['13% of people report feeling uplifted'],['17% of people report feeling hungry'],,['1% of people report feeling headache'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forbidden Fruit,Indica,THC 16%,4.6,(720),534 people reported 3122 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['21% of people say it helps with anxiety'],,['17% of people say it helps with depression'],['1% of people report feeling dizzy'],['9% of people report feeling dry eyes'],['14% of people report feeling dry mouth'],['40% of people report feeling euphoric'],['49% of people report feeling happy'],['16% of people say it helps with insomnia'],['19% of people say it helps with pain'],['1% of people report feeling paranoid'],['68% of people report feeling relaxed'],['32% of people report feeling sleepy'],['25% of people say it helps with stress'],['29% of people report feeling uplifted'],,,['1% of people report feeling headache'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peanut Butter Breath,Hybrid,THC 19%,4.6,(112),83 people reported 333 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['18% of people say it helps with anxiety'],['1% of people report feeling anxious'],['13% of people say it helps with depression'],['2% of people report feeling dizzy'],['8% of people report feeling dry eyes'],['8% of people report feeling dry mouth'],['30% of people report feeling euphoric'],['45% of people report feeling happy'],,,,['57% of people report feeling relaxed'],['21% of people report feeling sleepy'],['14% of people say it helps with stress'],['28% of people report feeling uplifted'],,,['1% of people report feeling headache'],,,,,,,['6% of people say it helps with lack of appetite'],,['4% of people say it helps with nausea'],,,,,,,,,,,,,,,,,,,,,,,,,,
Zookies,Hybrid,THC 20%,4.5,(123),93 people reported 565 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['22% of people say it helps with anxiety'],['2% of people report feeling anxious'],['11% of people say it helps with depression'],['3% of people report feeling dizzy'],['4% of people report feeling dry eyes'],['6% of people report feeling dry mouth'],['39% of people report feeling euphoric'],['55% of people report feeling happy'],,['15% of people say it helps with pain'],,['67% of people report feeling relaxed'],,['17% of people say it helps with stress'],['47% of people report feeling uplifted'],,,['1% of people report feeling headache'],,,,,['40% of people report feeling focused'],,['11% of people say it helps with lack of appetite'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Super Lemon Haze,Sativa,THC 18%,4.4,(2161),1597 people reported 10870 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['24% of people say it helps with anxiety'],['5% of people report feeling anxious'],['25% of people say it helps with depression'],['6% of people report feeling dizzy'],['16% of people report feeling dry eyes'],['27% of people report feeling dry mouth'],['47% of people report feeling euphoric'],['54% of people report feeling happy'],,['17% of people say it helps with pain'],['7% of people report feeling paranoid'],,,['33% of people say it helps with stress'],['52% of people report feeling uplifted'],,['39% of people report feeling creative'],,['52% of people report feeling energetic'],['15% of people say it helps with fatigue'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cookies and Cream,Hybrid,THC 20%,4.6,(584),425 people reported 3084 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['23% of people say it helps with anxiety'],['4% of people report feeling anxious'],['25% of people say it helps with depression'],['5% of people report feeling dizzy'],['12% of people report feeling dry eyes'],['22% of people report feeling dry mouth'],['50% of people report feeling euphoric'],['62% of people report feeling happy'],['16% of people say it helps with insomnia'],['20% of people say it helps with pain'],['1% of people report feeling paranoid'],['66% of people report feeling relaxed'],,['29% of people say it helps with stress'],['48% of people report feeling uplifted'],,['27% of people report feeling creative'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Cookies,Hybrid,THC 19%,4.7,(616),420 people reported 3242 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['29% of people say it helps with anxiety'],,['28% of people say it helps with depression'],['3% of people report feeling dizzy'],['11% of people report feeling dry eyes'],['22% of people report feeling dry mouth'],['58% of people report feeling euphoric'],['62% of people report feeling happy'],['19% of people say it helps with insomnia'],['24% of people say it helps with pain'],['2% of people report feeling paranoid'],['75% of people report feeling relaxed'],['28% of people report feeling sleepy'],['34% of people say it helps with stress'],['42% of people report feeling uplifted'],,,['2% of people report feeling headache'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blueberry,Indica,THC 17%,4.3,(2210),1619 people reported 11333 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['27% of people say it helps with anxiety'],,['22% of people say it helps with depression'],['6% of people report feeling dizzy'],['17% of people report feeling dry eyes'],['28% of people report feeling dry mouth'],['44% of people report feeling euphoric'],['53% of people report feeling happy'],['24% of people say it helps with insomnia'],['30% of people say it helps with pain'],['4% of people report feeling paranoid'],['61% of people report feeling relaxed'],['37% of people report feeling sleepy'],['38% of people say it helps with stress'],['31% of people report feeling uplifted'],,,['3% of people report feeling headache'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tahoe OG,Hybrid,THC 18%,4.4,(1351),972 people reported 7089 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['26% of people say it helps with anxiety'],,['22% of people say it helps with depression'],['6% of people report feeling dizzy'],['15% of people report feeling dry eyes'],['28% of people report feeling dry mouth'],['44% of people report feeling euphoric'],['46% of people report feeling happy'],['31% of people say it helps with insomnia'],['33% of people say it helps with pain'],['3% of people report feeling paranoid'],['67% of people report feeling relaxed'],['47% of people report feeling sleepy'],['34% of people say it helps with stress'],,['30% of people report feeling hungry'],,['3% of people report feeling headache'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
